,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2012-10-09,-0.4,-1.05,-0.26,0.33,0.12,0.08,0.0,0.002693164754400179,-0.01612230842263296,-0.00966178890475966,0.0013560526323836974,-0.006250144704274874,-0.012228472444487437,-0.011666864648153474,-0.009471400546819275,-0.012839405968796402,-0.0019040111400654425
2012-10-10,0.48,-0.58,0.4,0.28,-0.36,0.29,0.0,0.002693164754400179,-0.006221123684569729,-0.004169858466732901,-0.018876667451449336,-0.000627223613076211,-0.007409097895812344,-0.009323051453147713,-0.010934988013574287,-0.003984500049087902,-0.0016351099418052684
2012-10-11,-0.84,0.11,0.35,0.62,-0.18,0.12,0.0,0.002693164754400179,-0.0045294910244666475,-0.002230543836880816,0.007429082117111463,0.005630167748338799,0.000742961397092845,0.0030256031732744937,0.00411482061072066,-0.003999839328409305,0.001090164210993727
2012-10-12,0.12,-0.34,-0.39,-0.87,0.53,-0.19,0.0,0.002693164754400179,-0.00021594440324168573,0.0008367910167375037,-0.005497705918520612,-0.0138192432137898,-0.001487277683008159,0.0010981377710006512,-0.004389370350039279,-0.0006681229762959262,-0.00573662792678542
2012-10-15,0.2,0.79,-0.2,0.12,-0.23,0.28,0.0,0.002693164754400179,0.009896514096066955,0.006672136211270718,0.005086432813263375,0.011321266823325349,0.014286398737224815,0.006835703519025849,0.008487262248453753,0.005000897524149117,0.004101167850258491
2012-10-16,-0.27,1.0,-0.28,-0.22,0.21,-0.58,0.0,0.002693164754400179,0.008951310395926892,0.002490762925980494,0.0157801567520246,0.006234282990822848,0.010703112358531275,0.010569883531552193,0.023707915127143764,0.013542651602102662,0.003812692293790665
2012-10-17,0.16,0.49,0.25,1.05,-0.61,0.41,0.0,0.002693164754400179,0.005713091792097114,0.004412746420286329,0.012474543831164642,0.01296700640307602,0.0,0.005914470010796258,0.008219659905174037,-0.00526317257333897,0.012157306796067413
2012-10-18,-0.27,-0.31,-0.49,0.24,-0.05,0.46,0.0,0.002693164754400179,0.0006320769263634674,-0.005519018467532888,-0.0001332559047817483,0.00183881790918905,0.0002419312204922086,0.002943882248044094,0.00026425453942202637,-0.011610755372058357,0.0045547225808015845
2012-10-19,0.28,-1.68,-0.35,0.46,-0.12,0.42,0.0,0.002693164754400179,-0.01808339982290086,-0.011969413295825682,-0.015856319580038747,-0.013563818482027035,-0.01806278742704981,-0.016979659615667053,-0.021076371772916325,-0.022950445708571632,-0.008051649126832316
2012-10-22,0.12,0.01,-0.07,0.18,0.14,-0.19,0.0,0.002693164754400179,-0.0032256357306530425,0.0005598031629521216,-0.005024272076481928,0.0,0.0007390015828048213,-0.0027215011169010594,0.004573391890016154,0.00680500675100193,-0.0026985075453400675
2012-10-23,-0.26,-1.29,0.91,-0.49,-0.04,-0.02,0.0,0.002693164754400179,-0.008000658489516699,-0.013524833527840396,-0.02355294881249037,-0.016901708352922817,-0.013379972946470087,-0.010135472181097338,-0.03052006461649759,-0.01091051970051593,-0.009229269132954077
2012-10-24,0.96,-0.28,-0.17,0.41,-0.43,0.18,0.0,0.002693164754400179,-0.003915697205719493,0.0,-0.007695391491003178,0.0,0.001744588511012779,-0.006352581197930363,-0.0005539003180325963,-0.005845058060863995,-0.007389897770311293
2012-10-25,-0.61,0.27,0.23,0.03,0.07,-0.09,0.0,0.002693164754400179,-0.0024003678810919915,0.006221655089084788,0.00936656739641073,0.002521971914836385,0.007936615544460679,0.005526519753575876,-0.002217054351052017,-0.002070944849723144,0.004932945752253115
2012-10-26,-0.01,-0.07,-0.2,-0.43,0.38,-0.21,0.0,0.002693164754400179,0.0032716891171018503,-0.0033892607287491217,0.001251490506490871,-0.005050320256569485,-0.003960147528323521,0.0008260614443544867,0.0019404607057689205,0.0017260333908875047,0.0
2012-10-31,-0.21,0.14,0.56,0.37,0.04,0.1,0.0,0.002693164754400179,0.0032612110872261013,0.0011311288786157725,-0.00027810966698416095,0.0063092941653732915,-0.007219190715283208,0.0046698225998396126,-0.0022180059505139127,-0.004147854229695991,0.008710035332717414
2012-11-01,-0.81,1.19,0.24,0.14,0.25,0.03,0.0,-0.0016807561740774801,0.01143843145978174,0.0005649373711071881,0.004299635647563527,0.012500134682324582,0.008210441204481445,0.017656100951066733,0.01924171270603603,0.016148685754806547,-0.010625663750113645
2012-11-02,0.04,-1.04,-0.47,0.24,0.31,0.47,0.0,-0.0016807561740774801,-0.0006439055068971911,-0.005947857548368685,-0.01660739238331521,-0.0062305816436598604,-0.005466092125744115,-0.008381566660496276,-0.01813192616882553,-0.013035814648942878,-0.006870938713572805
2012-11-05,-0.08,0.28,0.38,-0.22,-0.1,-0.21,0.0,-0.0016807561740774801,0.002573703533667704,-0.001706416061247218,0.007570069575234761,-0.0018768707098186788,0.0004983736204087208,0.005415521897404574,0.006906977015498139,0.005509502312820214,-0.01640541849070587
2012-11-06,-0.49,0.8,0.02,0.53,0.23,0.15,0.0,-0.0016807561740774801,0.005339967053347383,0.007372250929284174,0.01593410985855437,0.011208200409723368,0.0009958877757583195,0.010744546353012474,0.010407933285669468,0.004454356523417413,0.000560591261124177
